Phenotype ID,Phenotype Parent ID,Display Name,Association Name,Description (Definition),Phenotype Data Type,Age,Sex Specific
2150,2050,Weight at Baseline (BQ),bq_weight_f_co,"Weight in pounds was recorded at baseline. Question 22 - ""What is or was your weight at these ages?"" ",continuous,bq_age_co,NULL
2160,2050,Weight at Age 20 (BQ),bq_weight20_f_co,"Weight in pounds at age 20 was estimated at baseline. Question 22 - ""What is or was your weight at these ages?"" ",continuous,NULL,NULL
2170,2050,Weight at Age 50 (BQ),bq_weight50_f_co,"Weight in pounds at age 50 was estimated at baseline. Question 22 - ""What is or was your weight at these ages?"" ",continuous,NULL,NULL
2180,2050,Weight in 30's (SQX),sqx_wt30s_co,"Weight in pounds during 30's was determined from the supplemental questionnaire. Question 8 - ""Please estimate your weight when you were the following ages?"" ",continuous,NULL,NULL
2190,2050,Weight in 40's (SQX),sqx_wt40s_co,"Weight in pounds during 40's was determined from the supplemental questionnaire. Question 8 - ""Please estimate your weight when you were the following ages?"" ",continuous,NULL,NULL
2200,2050,Weight in 50's (SQX),sqx_wt50s_co,"Weight in pounds during 50's was determined from the supplemental questionnaire. Question 8 - ""Please estimate your weight when you were the following ages?"" ",continuous,NULL,NULL
2210,2050,Weight in 60's (SQX),sqx_wt60s_co,"Weight in pounds during 60's was determined from the supplemental questionnaire. Question 8 - ""Please estimate your weight when you were the following ages?"" ",continuous,NULL,NULL
2220,2050,Weight in 70's (SQX),sqx_wt70s_co,"Weight in pounds during 70's was determined from the supplemental questionnaire. Question 8 - ""Please estimate your weight when you were the following ages?"" ",continuous,NULL,NULL
2230,2050,Weight  (SQX),sqx_wt_curr_co,"Current weight in pounds was determined from the supplemental questionnaire. Question 9 - ""What is your current weight?"" ",continuous,sqx_age_co,NULL
2240,2000,BMI,NULL,NULL,NULL,NULL,NULL
2250,2240,BMI at Baseline (BQ),bq_bmi_curr_co,Body mass index (BMI) was calculated at baseline from self reported meausrements of body weight in kilograms divded by height in meters squared.,continuous,bq_age_co,NULL
2260,2240,BMI at Age 20 (BQ),bq_bmi_20_co,Body mass index (BMI) at age 20 was estimated at baseline from self reported meausrements of body weight in kilograms divded by height in meters squared.,continuous,NULL,NULL
2270,2240,BMI at Age 50 (BQ),bq_bmi_50_co,Body mass index (BMI) at age 50 was calculated at baseline from self reported meausrements of body weight in kilograms divded by height in meters squared.,continuous,NULL,NULL
2280,2240,BMI in 30's (SQX),sqx_bmi30s_co,"Body mass index (BMI) in 30's was calculated from self reported meausrements of body weight in kilograms divded by height in meters squared from questions 7 and 8 of the supplemental questionnaire. Question 7 - ""What is your current height?"" Question 8 - ""Please estimate your weight when you were the following ages.""",continuous,NULL,NULL
2290,2240,BMI in 40's (SQX),sqx_bmi40s_co,"Body mass index (BMI) in 40's was calculated from self reported meausrements of body weight in kilograms divded by height in meters squared from questions 7 and 8 of the supplemental questionnaire. Question 7 - ""What is your current height?"" Question 8 - ""Please estimate your weight when you were the following ages.""",continuous,NULL,NULL
2300,2240,BMI in 50's (SQX),sqx_bmi50s_co,"Body mass index (BMI) in 50's was calculated from self reported meausrements of body weight in kilograms divded by height in meters squared from questions 7 and 8 of the supplemental questionnaire. Question 7 - ""What is your current height?"" Question 8 - ""Please estimate your weight when you were the following ages.""",continuous,NULL,NULL
2310,2240,BMI in 60's (SQX),sqx_bmi60s_co,"Body mass index (BMI) in 60's was calculated from self reported meausrements of body weight in kilograms divded by height in meters squared from questions 7 and 8 of the supplemental questionnaire. Question 7 - ""What is your current height?"" Question 8 - ""Please estimate your weight when you were the following ages.""",continuous,NULL,NULL
2320,2240,BMI in 70's (SQX),sqx_bmi70s_co,"Body mass index (BMI) in 70's was calculated from self reported meausrements of body weight in kilograms divded by height in meters squared from questions 7 and 8 of the supplemental questionnaire. Question 7 - ""What is your current height?"" Question 8 - ""Please estimate your weight when you were the following ages.""",continuous,NULL,NULL
2330,2240,BMI  (SQX),sqx_bmi_curr_co,"Body mass index (BMI)  was calculated from self reported meausrements of body weight in kilograms divded by height in meters squared from questions 7 and 9 of the supplemental questionnaire. Question 7 - ""What is your current height?"" Question 8 - ""What is your current weight?""",continuous,sqx_age_co,NULL
2340,2000,Waist-Hip Comparison ,sqx_waist_hip_o,"Waist to hip comparison was determined from question 13 of the supplemental questionnaire. Question 13 - ""How would you describe your waist in comparison to your hips (waist to hip ratio)?""",ordinal,sqx_age_co,NULL
3000,NULL,Cancer,NULL,NULL,NULL,NULL,NULL
3010,3000,Cancer by location,NULL,NULL,NULL,NULL,NULL
3020,3000,Cancer by pathology ,NULL,NULL,NULL,NULL,NULL
3030,3000,Cancer by etiology,NULL,NULL,NULL,NULL,NULL
3040,3000,Family History of Cancer,NULL,NULL,NULL,NULL,NULL
3050,3010,Biliary Cancer,j_bili_cancer,"These participants have a confirmed diagnosis of biliary cancer. ICD-O-2 Site: C23.9-24.9 ICD-O-2 Morphology: Exclude hematopoietic cancers, mesothelioma, and Kaposi’s sarcoma",binary,j_bili_cancer_dx_age,NULL
3060,3010,Bladder Cancer,j_blad_cancer,"These participants have a confirmed diagnosis of bladder cancer. ICD-O-2 Site:  C67.0-67.9 ICD-O-2 Morphology: Exclude hematopoietic cancers, mesothelioma, and Kaposi’s sarcoma",binary,j_blad_cancer_dx_age,NULL
3070,3010,Female Breast Cancer,NULL,NULL,NULL,NULL,NULL
3080,3070,All Female Breast Cancer,j_breast_cancer,"These participants have a confirmed diagnosis of breast cancer. ICD-O-2 Site:  C50.0-50.9 ICD-O-2 Morphology: Exclude hematopoietic cancers, mesothelioma, and Kaposi’s sarcoma",binary,j_breast_cancer_dx_age,female
3090,3070,Female Breast Cancer (Invasive),j_breast_invasive,These participants have a confirmed diagnosis of invasive breast cancer.,binary,j_breast_cancer_dx_age,female
3100,3070,Female Breast Cancer (In Situ),j_breast_insitu,These participants have a confirmed diagnosis of ductal carcinoma in situ. Behavior: 2,binary,j_breast_cancer_dx_age,female
3110,3070,"Female Breast Cancer (Ductal, NOS)",j_breast_ductal,"These participants have a confirmed diagnosis of ductal carcinoma, not otherwise specified (NOS). ICD-O-2 Morphology: 8010-8011/8140-8141/8500",binary,j_breast_cancer_dx_age,female
3120,3070,Female Breast Cancer (Lobular),j_breast_lobular,These participants have a confirmed diagnosis of lobular breast cancer. ICD-O-2 Morphology: 8520-8521,binary,j_breast_cancer_dx_age,female
3130,3070,Female Breast Cancer (Tubular),j_breast_tubular,These participants have a confirmed diagnosis of tubular breast cancer. ICD-O-2 Morphology: 8200/8201/8211,binary,j_breast_cancer_dx_age,female
3140,3070,Female Breast Cancer (ER Positive),j_breast_er_pos_or_equiv,"These participants have a confirmed diagnosis of estrogen receptor (ER)–positive or equivocal breast cancer (with positive cells within 1-9% range). Status of estrogen receptor (ER), progesterone receptor (PR), and human epidermal growth factor 2 receptor (HER2) status was ascertained through a breast cancer supplemental data collection effort, available for a subset of breast cancer patients.  ",binary,j_breast_cancer_dx_age,female
3150,3070,Female Breast Cancer (ER Negative),j_breast_er_neg,"These participants have a confirmed diagnosis of estrogen receptor (ER)–negative breast cancer.  Status of estrogen receptor (ER), progesterone receptor (PR), and human epidermal growth factor 2 receptor (HER2) status was ascertained through a breast cancer supplemental data collection effort, available for a subset of breast cancer patients.  ",binary,j_breast_cancer_dx_age,female
3160,3070,Female Breast Cancer (PR Positive),j_breast_pr_pos_or_equiv,"These participants have a confirmed diagnosis of progesterone receptor (PR)–positive or equivocal breast cancer (with positive cells within 1-9% range).  Status of estrogen receptor (ER), progesterone receptor (PR), and human epidermal growth factor 2 receptor (HER2) status was ascertained through a breast cancer supplemental data collection effort, available for a subset of breast cancer patients.  ",binary,j_breast_cancer_dx_age,female
3170,3070,Female Breast Cancer (PR Negative),j_breast_pr_neg,"These participants have a confirmed diagnosis of progesterone receptor (PR)–negative breast cancer.  Status of estrogen receptor (ER), progesterone receptor (PR), and human epidermal growth factor 2 receptor (HER2) status was ascertained through a breast cancer supplemental data collection effort, available for a subset of breast cancer patients.  ",binary,j_breast_cancer_dx_age,female
3180,3070,Female Breast Cancer (ER Positive or PR Positive),j_breast_er_or_pr_pos,"These participants have a confirmed diagnosis of either estrogen receptor (ER)–positive or progesterone (PR)–positive breast cancer.  Status of estrogen receptor (ER), progesterone receptor (PR), and human epidermal growth factor 2 receptor (HER2) status was ascertained through a breast cancer supplemental data collection effort, available for a subset of breast cancer patients.  ",binary,j_breast_cancer_dx_age,female
3190,3070,Female Breast Cancer (ER Negative and PR Negative),j_breast_er_and_pr_neg,"These participants have a confirmed diagnosis of both estrogen receptor (ER)–negative and progesterone receptor (PR)–negative breast cancer.  Status of estrogen receptor (ER), progesterone receptor (PR), and human epidermal growth factor 2 receptor (HER2) status was ascertained through a breast cancer supplemental data collection effort, available for a subset of breast cancer patients.  ",binary,j_breast_cancer_dx_age,female
3200,3070,Female Breast Cancer (HER2 Positive: Positive or Equivocal w/ positive cells within 1-9% range),j_breast_her2_pos_or_equiv,"These participants have a confirmed diagnosis of human epidermal growth factor receptor 2 (HER2)–positive or equivocal breast cancer (with positive cells within 1-9% range).  Status of estrogen receptor (ER), progesterone receptor (PR), and human epidermal growth factor 2 receptor (HER2) status was ascertained through a breast cancer supplemental data collection effort, available for a subset of breast cancer patients.  ",binary,j_breast_cancer_dx_age,female
3210,3070,Female Breast Cancer (HER2 Negative),j_breast_her2_neg,"These participants have a confirmed diagnosis of human epidermal growth factor receptor 2 (HER2)–negative breast cancer.  Status of estrogen receptor (ER), progesterone receptor (PR), and human epidermal growth factor 2 receptor (HER2) status was ascertained through a breast cancer supplemental data collection effort, available for a subset of breast cancer patients.  ",binary,j_breast_cancer_dx_age,female
3220,3070,"Female Breast Cancer (ER Negative, PR Negative, and HER2 Negative)",j_breast_er_pr_and_her2_neg,"These participants have a confirmed diagnosis of estrogen receptor (ER)–negative, progesterone (PR)–negative, and human epidermal growth factor receptor 2 (HER2)–negative breast cancer.  Status of estrogen receptor (ER), progesterone receptor (PR), and human epidermal growth factor 2 receptor (HER2) status was ascertained through a breast cancer supplemental data collection effort, available for a subset of breast cancer patients.  ",binary,j_breast_cancer_dx_age,female
3230,3070,Female Breast Cancer (Grade III or Grade IV),j_breast_grade34,These participants have a confirmed diagnosis of grade III or IV breast cancer.,binary,j_breast_cancer_dx_age,female
3240,3070,Female Breast Cancer (Grade II),j_breast_grade2,These participants have a confirmed diagnosis of grade II breast cancer.,binary,j_breast_cancer_dx_age,female
3250,3070,Female Breast Cancer (Grade I),j_breast_grade1,These participants have a confirmed diagnosis of grade I breast cancer.,binary,j_breast_cancer_dx_age,female
3260,3010,Male Breast Cancer,j_mbreast_cancer,"These participants have a confirmed diagnosis of male breast cancer. ICD-O-2 Site:  C50.0-50.9 ICD-O-2 Morphology: Exclude hematopoietic cancers, mesothelioma, and Kaposi’s sarcoma",binary,j_mbreast_cancer_dx_age,male
3270,3010,Colorectal Cancer,NULL,NULL,NULL,NULL,NULL
3280,3270,All Colorectal Cancer,j_colo_cancer,"These participants have a confirmed diagnosis of colorectal cancer. ICD-O-2 Site:  180/182-189/199/209/212/218 ICD-O-2 Morphology: Exclude hematopoietic cancers, mesothelioma, and Kaposi’s sarcoma",binary,j_colo_cancer_dx_age,NULL
3290,3270,Colon Cancer (Distal Colon or Proximal Colon),j_colo_distal_proximal,These participants have a confirmed diagnosis of distal or proximal colon cancer.,binary,j_colo_cancer_dx_age,NULL
3300,3270,Colon Cancer (Distal Colon: Descending or Sigmoid),j_colo_distal,"These participants have a confirmed diagnosis of distal colon cancer in either the descending colon or the sigmoid colon. ICD-O-2 Site:  C186/187/199, or the medical record abstractor indicated the cancer was in the descending colon or sigmoid colon. In most trial variables, the most distal location among both the ICD topography and bubbled locations is used as the cancer location; cancers indicated as being in the rectum are considered rectal, even if a segment of the colon is also indicated. ICD-O-2 Morphology: Exclude hematopoietic cancers, mesothelioma, and Kaposi’s sarcoma",binary,j_colo_cancer_dx_age,NULL
3310,3270,Colon Cancer (Proximal Colon),j_colo_proximal,"These participants have a confirmed diagnosis of proximal colon cancer. ICD-O-2 Site:  C180/182-185, or the medical record abstractor indicated the cancer was in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure.  In most trial variables, the most distal location among both the ICD Site and bubbled locations is used as the cancer location; cancers indicated as being in the rectum are considered rectal, even if a segment of the colon is also indicated.
ICD0-O0-2 Morphology: Exclude hematopoietic cancers, mesothelioma, and Kaposi’s sarcoma",binary,j_colo_cancer_dx_age,NULL
3320,3270,Rectal Cancer,j_colo_rectal,"These participants have a confirmed diagnosis of rectal cancer. ICD-O-2 Site:  C209/212/218, or the medical record abstractor indicated the cancer was in the rectum.  In most trial variables, the most distal location among both the ICD Site and bubbled locations is used as the cancer location; cancers indicated as being in the rectum are considered rectal, even if a segment of the colon is also indicated. ICD-O-2 Morphology: Exclude hematopoietic cancers, mesothelioma, and Kaposi’s sarcoma",binary,j_colo_cancer_dx_age,NULL
3330,3010,Colorectal Adenoma,NULL,NULL,NULL,NULL,NULL
3340,3330,All Colorectal Adenoma,adenoma_stat,"These participants have a confirmed diagnosis of colorectal adenoma. PLCO participants in the screened arm underwent flexible sigmoidoscopy screening at baseline and again during follow-up, either three (T3) or five (T5) years subsequently.  Colorectal adenoma diagnoses were ascertained among screened arm participants with a positive sigmoidoscopy which was subsequently confirmed during diagnostic. ",binary,adenoma_dx_age,NULL
3350,3330,Colorectal Adenoma (Advanced),advanced_adenoma_stat,"These participants have a confirmed diagnosis of advanced colorectal adenoma. PLCO participants in the screened arm underwent flexible sigmoidoscopy screening at baseline and again during follow-up, either three (T3) or five (T5) years subsequently.  Colorectal adenoma diagnoses were ascertained among screened arm participants with a positive sigmoidoscopy which was subsequently confirmed during diagnostic. Advanced adenoma was defined as adenomas ≥1 cm in size, containing high-grade dysplasia or villous, including tubulovillous elements.  endoscopy outside of the study.",binary,advanced_adenoma_dx_age,NULL
3360,3330,Colorectal Adenoma (Non-Advanced),non_advanced_adenoma_stat,"These participants have a confirmed diagnosis of non-advanced colorectal adenoma. PLCO participants in the screened arm underwent flexible sigmoidoscopy screening at baseline and again during follow-up, either three (T3) or five (T5) years subsequently.  Colorectal adenoma diagnoses were ascertained among screened arm participants with a positive follow-up sigmoidoscopy which was subsequently confirmed during diagnostic endoscopy outside of the study.",binary,non_advanced_adenoma_dx_age,NULL
3373,3010,Endometrial Cancer,NULL,NULL,NULL,NULL,NULL
3370,3373,All Endometrial Cancer,j_endo_cancer,"These participants have a confirmed diagnosis of endometrial cancer. ICD-O-2 Site:  C54.0-54.9/559 ICD-O-2 Morphology: Exclude hematopoietic cancers, mesothelioma, and Kaposi’s sarcoma",binary,j_endo_cancer_dx_age,female
3371,3373,Endometrial Cancer (Endometrioid Tumors),j_endo_endometrioid,"These participants have a confirmed diagnosis of endometrioid tumors. Morphology: 8380, 8381, 8382, 8383, 8560, 8570",binary,j_endo_cancer_dx_age,female
3380,3010,Glioma Cancer,j_glio_cancer,"These participants have a confirmed diagnosis of glioma cancer. ICD-O-2 Site: C70.0-72.9 ICD-O-2 Morphology: Exclude hematopoietic cancers, mesothelioma, and Kaposi’s sarcoma",binary,j_glio_cancer_dx_age,NULL
3390,3010,Head and Neck Cancer,NULL,NULL,NULL,NULL,NULL
3400,3390,All Head and Neck Cancer,j_hnc_cancer,"These participants have a confirmed diagnosis of a head and neck cancer. ICD-O-2 Site:  C000-C009, C019-C069, C079-C119, C129-C140, C142-C148, C300-C301, C310-C329 ICD-O-2 Morphology: Exclude hematopoietic cancers, mesothelioma, and Kaposi’s sarcoma and 8720-8790",binary,j_hnc_cancer_dx_age,NULL
3410,3390,"Cancers of Lip, Oral Cavity, and Pharynx",j_hnc_lip_oral_pharynx,"These participants have a confirmed diagnosis of a cancer of the lip, oral cavity, and pharynx. ICD-O-2 Site:  C00.0-00.9/019-069/079-109/130-140/142/148 ICD-O-2 Morphology: Exclude hematopoietic cancers, mesothelioma, and Kaposi’s sarcoma",binary,j_hnc_cancer_dx_age,NULL
3420,3390,Cancer of Larynx,j_hnc_larynx,"These participants have a confirmed diagnosis of a cancer of the larynx. ICD-O-2 Site:  C32.0-32.9 ICD-O-2 Morphology: Exclude hematopoietic cancers, mesothelioma, and Kaposi’s sarcoma",binary,j_hnc_cancer_dx_age,NULL
3430,3390,"Cancers of Nasopharynx, Nasal Cavity, Middle Ear, Sinuses",j_hnc_naso_mid_sinus,"These participants have a confirmed diagnosis of a cancer of the nasopharynx, nasal cavity, middle ear, or sinuses. ICD-O-2 Site:  C11.0-11.9/129/300-301/310-319 ICD-O-2 Morphology: Exclude hematopoietic cancers, mesothelioma, and Kaposi’s sarcoma",binary,j_hnc_cancer_dx_age,NULL
3440,3010,Hematologic Malignancies,NULL,NULL,NULL,NULL,NULL
3450,3440,All Hematologic Malignancies,j_hematologic,These participants have a confirmed diagnosis of a hematologic malignancy. ICD-O-2 Morphology: 9590-9992,binary,j_hematologic_dx_age,NULL
3460,3440,Lymphoid,j_lymphoid,"These participants have a confirmed diagnosis of a lymphoid malignacy. ICD-O-2 Morphology: 9590-9595, 9650, 9652-9655, 9657-9667, 9663-9667, 9670-9677, 9680, 9684-9688, 9690-9698, 9700-9717, 9731, 9732, 9760-9764, 9820-9828, 9830, 9850, 9940, 9941. Also, 9681-9683 when topography is not C499.",binary,j_lymphoid_dx_age,NULL
3470,3440,Lymphoid (B-Cell NHL),j_bcell,"These participants have a confirmed diagnosis of lymphoid B-cell malignancy. ICD-O-2 Morphology: 9670, 9671, 9673, 9674, 9677-9683, 9687-9693, 9695-9699, 9710-9712, 9715, 9728, 9731-9734, 9760-9764, 9823, 9826, 9830, 9833,9836,9940, 9941",binary,j_bcell_dx_age,NULL
3471,3440,Lymphoid (CLL),j_cll,"These participants have a confirmed diagnosis of chronic lymphocytic leukemia. ICD-O-2 Morphology: 9823, 9670",binary,j_cll_dx_age,NULL
3480,3440,Myeloid,j_myeloid,"These participants have a confirmed diagnosis of myeloid malignancy. ICD-O-2 Morphology: 9741, 9742, 9750, 9754-9757, 9840, 9860, 9861, 9863, 9866, 9867, 9870-9876, 9891, 9895-9897, 9910, 9920, 9930, 9931, 9945, 9950, 9960, 9961-9964, 9975, 9980, 9982, 9983, 9985, 9986, 9989",binary,j_myeloid_dx_age,NULL
3490,3010,Kidney Cancer,NULL,NULL,NULL,NULL,NULL
3500,3490,All Kidney Cancer,j_kidney_cancer,"These participants have a confirmed diagnosis of kidney cancer. ICD-O-2 Site:  C649 ICD-O-2 Morphology: Exclude hematopoietic cancers, mesothelioma, and Kaposi’s sarcoma",binary,j_kidney_cancer_dx_age,NULL
3510,3490,Kidney Cancer (Clear Cell Renal Cell Carcinoma),j_kidney_renalcell_clearcell,These participants have a confirmed diagnosis of clear cell renal cell carcinoma. ICD-O-2 Morphology: 8310,binary,j_kidney_cancer_dx_age,NULL
3520,3490,"Kidney Cancer (Renal Cell Carcinoma, NOS)",j_kidney_renalcell_nos,These participants have a confirmed diagnosis of renal cell carcinoma of no special type (NOS). ICD-O-2 Morphology: 8312,binary,j_kidney_cancer_dx_age,NULL
3530,3010,Liver Cancer ,j_liver_xintra_cancer,"These participants have a confirmed diagnosis of liver cancer (excluding intrahepatic bile duct cancer). ICD-O-2 Site:  C220 ICD-O-2 Morphology: Exclude hematopoietic cancers, mesothelioma, and Kaposi’s sarcoma",binary,j_liver_xintra_cancer_dx_age,NULL
3540,3010,Lung Cancer,NULL,NULL,NULL,NULL,NULL
3550,3540,All Lung Cancer,j_lung_cancer,"These participants have a confirmed diagnosis of lung cancer. ICD-O-2 Site:  C340-349 ICD-O-2 Morphology: Exclude 8800-8991, 9040-9055, 9590-9723, as well as those indicated by the abstractor as carcinoids, lymphomas, or sarcomas.",binary,j_lung_cancer_dx_age,NULL
3560,3540,Lung Cancer (Adenocarcinoma),j_lung_adeno,These participants have a confirmed diagnosis of lung adenocarcinoma. ICD-O-2 Morphology: 8050/8052/8140/8143/ 8200/8260/8310/8323/8480/8481/ 8490/8550/8574,binary,j_lung_cancer_dx_age,NULL
3561,3540,Lung Cancer (Bronchioloalveolar Carcinoma),j_lung_bac,"These participants have a confirmed diagnosis of bronchioalveolar adenocarcinoma. Morphology: 8250, 8252, 8253, 8254, 8255.",binary,j_lung_cancer_dx_age,NULL
3570,3540,Lung Cancer (Small Cell Carcinoma),j_lung_smallcell,These participants have a confirmed diagnosis of small cell lung cancer. ICD-O-2 Morphology: 8041-8045/8073,binary,j_lung_cancer_dx_age,NULL
3580,3540,Lung Cancer (Squamous Cell Carcinoma),j_lung_squam,These participants have a confirmed diagnosis of squamous cell carcinoma. ,binary,j_lung_cancer_dx_age,NULL
3581,3540,Lung Cancer by Smoking Status,NULL,NULL,NULL,NULL,NULL
3582,3540,Lung cancer among never smokers,NULL,NULL,binary,j_lung_cancer_dx_age,NULL
3583,3540,Lung cancer among former smokers who quit 20+ years ago,NULL,NULL,binary,j_lung_cancer_dx_age,NULL
3584,3540,Lung cancer among former smokers who quit <20 years ago,NULL,NULL,binary,j_lung_cancer_dx_age,NULL
3585,3540,Lung cancer among current smokers,NULL,NULL,binary,j_lung_cancer_dx_age,NULL
3590,3010,Melonoma Cancers,NULL,NULL,NULL,j_lung_cancer_dx_age,NULL
3600,3590,All Melanoma,j_mela_cancer,These participants have a confirmed diagnosis of melanoma. ICD-O-2 Site:  C44.0-44.9 ICD-O-2 Morphology: 8720-8790,binary,j_mela_cancer_dx_age,NULL
3610,3590,Melanoma (Invasive Only),j_mela_invasive_cancer,These participants have a confirmed diagnosis of melanoma (invasive only). ICD-O-2 Site:  C44.0-44.9 ICD-O-2 Morphology: 8720-8790 Behavior: 3,binary,j_mela_invasive_cancer_dx_age,NULL
3620,3010,Ovarian Cancer,NULL,NULL,NULL,NULL,NULL
3630,3620,All Ovarian Cancer,j_osumm_cancer,"These participants have a confirmed diagnosis of ovarian cancer. ICD-O-2 Site:  C481-482/C569-570 ICD-O-2 Morphology: Exclude 8240-8249, and hematopoietic cancers, mesothelioma, and Kaposi’s sarcoma",binary,j_osumm_cancer_dx_age,female
3640,3620,Ovarian Cancer (High-grade serous),j_osumm_serous_grade_high,"These participants have a confirmed diagnosis of high-grade serous ovarian cancer. Morphology codes for serous: 8441, 8442, 8460, 8461, 8462, 8463, 9012 (excluding grade 1, including missing grade). ",binary,j_osumm_cancer_dx_age,female
3650,3010,Pancreatic Cancer,j_panc_cancer,"These participants have a confirmed diagnosis of pancreatic cancer. ICD-O-2 Site:  C25.0-25.9 ICD-O-2 Morphology: Exclude hematopoietic cancers, mesothelioma, and Kaposi’s sarcoma",binary,j_panc_cancer_dx_age,NULL
3660,3010,Prostate Cancer,NULL,NULL,NULL,NULL,NULL
3670,3660,All Prostate Cancer,j_pros_cancer,"These participants have a confirmed diagnosis of prostate cancer. ICD-O-2 Site:  C619 ICD-O-2 Morphology: Exclude hematopoietic cancers, mesothelioma, and Kaposi’s sarcoma",binary,j_pros_cancer_dx_age,male
3680,3660,"Prostate Cancer (Advanced: Gleason 8, 9, 10, or Stage III, IV)",j_pros_advanced_excluding7,"These participants have a confirmed diagnosis of advanced prostate cancer with a Gleason score of  8, 9, 10, or Stage III, IV.",binary,j_pros_cancer_dx_age,male
3690,3660,"Prostate Cancer (Advanced: Gleason 7, 8, 9, 10, or Stage III, IV)",j_pros_advanced_including7,"These participants have a confirmed diagnosis of advance prostate cancer with a Gleason score of  7, 8, 9, 10, or Stage III, IV.",binary,j_pros_cancer_dx_age,male
3700,3660,Prostate Cancer (Non-Advanced),j_pros_non_advanced,These participants have a confirmed diagnosis of non-advanced prostate cancer.,binary,j_pros_cancer_dx_age,male
3710,3010,Thyroid Cancer,j_thyd_cancer,"These participants have a confirmed diagnosis of thyroid cancer. ICD-O-2 Site:  C739 ICD-O-2 Morphology: Exclude hematopoietic cancers, mesothelioma, and Kaposi’s sarcoma",binary,j_thyd_cancer_dx_age,NULL
3720,3010,Upper GI Cancer ,NULL,NULL,NULL,NULL,NULL
3730,3720,All Upper GI Cancer ,j_upgi_cancer,"These participants have a confirmed diagnosis of an upper gastrointestinal (GI) cancer. ICD-O-2 Site:  C15.0-15.9/160-169 ICD-O-2 Morphology: Exclude hematopoietic cancers, mesothelioma, and Kaposi’s sarcoma",binary,j_upgi_cancer_dx_age,NULL
3740,3720,Esophageal Cancer,j_esoph_cancer,"These participants have a confirmed diagnosis of esophageal cancer. ICD-O-2 Site:  C15.0-15.9 ICD-O-2 Morphology: Exclude hematopoietic cancers, mesothelioma, and Kaposi’s sarcoma",binary,j_esoph_cancer_dx_age,NULL
3750,3720,Esophageal Cancer (Adenocarcinoma),j_esoph_adeno_carcinoma,"These participants have a confirmed diagnosis of esophageal adenocarcinoma. ICD-O-2 Morphology: 8140-8148, 8050, 8160-8163, 8190-8232, 8250-8303, 8330-8525",binary,j_esoph_cancer_dx_age,NULL
3760,3720,Esophageal Cancer (Squamous Cell Carcinoma),j_esoph_squamous,These participants have a confirmed diagnosis of esophageal squamous cell carcinoma. ICD-O-2 Morphology: 8051-8086,binary,j_esoph_cancer_dx_age,NULL
